ZIPCODE,PRICE_PER_SQFT
10001.0,782846.077021296
10002.0,470673.77725338185
10003.0,654174.5631924883
10004.0,432263.9041429404
10005.0,658660.157179401
10006.0,601773.0502830873
10007.0,610088.9940951192
10009.0,533654.5501038374
10010.0,1063427.6554675852
10011.0,918193.4587616882
10012.0,1296618.8332356715
10013.0,741063.5306759672
10014.0,1061369.6344544264
10016.0,788429.4719225927
10017.0,1359544.4969286798
10018.0,522671.01058849675
10019.0,679365.0228986585
10021.0,810441.6779283272
10022.0,1162563.7073517279
10023.0,540154.4849810221
10024.0,609477.406753101
10025.0,386288.93176173005
10026.0,293090.51580646343
10027.0,287060.276907836
10028.0,841220.3408851997
10029.0,282432.19084307645
10030.0,260599.21314230928
10031.0,212455.93774863714
10032.0,195994.3149153302
10033.0,249338.087380199
10034.0,168332.7867086239
10035.0,239437.7842346499
10036.0,660953.2961539634
10037.0,256277.29116292886
10038.0,511207.86875521496
10039.0,197124.44909345548
10040.0,173454.179923124
10065.0,1371061.8986623238
10069.0,661767.8429654754
10075.0,1185862.821159914
10128.0,756989.5225950873
10301.0,125362.59724595759
10302.0,141863.67574735798
10303.0,126145.31516784383
10304.0,127457.29630583753
10305.0,182634.96237250065
10306.0,171515.387162589
10307.0,179595.57062344413
10308.0,225227.5341412958
10310.0,127868.87999023318
10312.0,192705.85465385922
10314.0,188934.39554751205
10451.0,138426.52878744647
10452.0,98302.2969689182
10453.0,125429.26529265693
10454.0,125673.7228508543
10455.0,119355.24801754701
10456.0,130576.76870128143
10457.0,99149.79117263785
10458.0,137754.87357149684
10459.0,95877.15800619344
10460.0,113571.19243708723
10461.0,156377.664058083
10462.0,144328.5906361978
10463.0,146169.44654949103
10464.0,210235.61392887103
10465.0,205292.73603800012
10466.0,135499.820289281
10467.0,147655.7163266724
10468.0,148570.57457594338
10469.0,165977.99552587626
10470.0,130818.9049265533
10471.0,198471.01080133102
10472.0,130439.83149559352
10473.0,128182.41404837943
10474.0,124150.16502084059
10475.0,226241.33500224032
11001.0,197152.29633292867
11004.0,356220.2216249157
11005.0,116.14916685885993
11040.0,337949.3260480648
11101.0,288090.8071995861
11102.0,310702.0316033794
11103.0,286482.84585261473
11104.0,275641.2260585962
11105.0,302964.0851260867
11106.0,275139.4792503767
11109.0,276.0619759135926
11201.0,765629.5657579507
11203.0,156949.17105677718
11204.0,286134.2269580113
11205.0,249918.32064631733
11206.0,199074.27772462793
11207.0,138747.47385279636
11208.0,136522.79882458848
11209.0,301740.4905603746
11210.0,196970.7652544341
11211.0,341891.7122536026
11212.0,133049.4685338264
11213.0,160432.38753342134
11214.0,313678.82294480683
11215.0,350027.01114080084
11216.0,191953.71364574865
11217.0,475427.89007255534
11218.0,212531.96416396197
11219.0,241966.39150510172
11220.0,241935.87419287497
11221.0,155021.24609447352
11222.0,373401.6968362729
11223.0,277255.0312124143
11224.0,150617.21840706922
11225.0,177663.09978103117
11226.0,175737.85829209126
11228.0,265472.8752693694
11229.0,4799878.649693473
11230.0,281250.6102715109
11231.0,344294.7533723591
11232.0,221913.2713066357
11233.0,141978.98119009397
11234.0,195996.57690787897
11235.0,236889.24168815408
11236.0,180202.10742323956
11237.0,191334.07777981795
11238.0,252376.12268191768
11249.0,1553299.314000811
11354.0,314522.65712058527
11355.0,365830.4805250208
11356.0,235870.79828515425
11357.0,262042.3990493436
11358.0,316037.68007361575
11360.0,251915.6263954575
11361.0,379487.1736713218
11362.0,323750.89455074933
11363.0,323137.6042927492
11364.0,300393.33669931185
11365.0,283496.75500784843
11366.0,301107.5894357142
11367.0,298243.7008784175
11368.0,240719.7793193659
11369.0,229060.42225053054
11370.0,187024.88146393665
11372.0,274744.6495452426
11373.0,278332.22920733655
11374.0,297460.3865019663
11375.0,24653406.567480784
11377.0,253097.3303228806
11378.0,228643.3217362606
11379.0,238521.18360604582
11385.0,192017.40104256896
11411.0,133103.93349244015
11412.0,152997.387511559
11413.0,164877.82524054206
11414.0,159793.94883000382
11415.0,175097.94150157165
11416.0,184066.78875321834
11417.0,206525.37819483987
11418.0,176739.0222907253
11419.0,238936.76910869376
11420.0,181730.788087728
11421.0,218265.27016119807
11422.0,171764.50090851754
11423.0,191341.50761189804
11426.0,238041.05246363164
11427.0,251633.2120367281
11428.0,193702.12476566405
11429.0,164038.62368716914
11430.0,164262.24644355278
11432.0,214677.3856534306
11433.0,151947.220865374
11434.0,173409.3764295257
11435.0,168603.30933049144
11436.0,164282.83942975535
11691.0,144364.47466827117
11692.0,111234.36157066039
11693.0,164939.11406847098
11694.0,177169.5563101741
11697.0,1983333.3333333333
